,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,highVarProb,long_exposure,long_value,longs_count,lowVarProb,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2009-09-30 20:00:00+00:00,185.35,0.23625862762206715,0.7709525680500007,0.29973577726514616,1.171646162858814,0.35976596650355797,0.44779062386476615,0.0,6387.906805000008,170707.35,170707.35,0.0,0.9639295432286267,0.016371448254365827,170707.35,170707.35,1,0.9836285517456342,-0.09466805590926711,0.9640793636763004,0.9639295432286267,[],2009-09-30 20:00:00+00:00,2009-09,2009-09-30 13:31:00+00:00,-27.629999999975553,177095.256805,"[{'amount': 921L, 'last_sale_price': 185.35, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",-0.00015599339248795197,3.364022068198993,0.0,0.0,0,6.207459990735201,6387.906805000008,170734.97999999998,170734.97999999998,188,[],0.0
2009-10-01 20:00:00+00:00,180.86,0.2376086873024523,0.7295996680500008,0.2771846801151484,1.1190392501464532,0.36032564590546523,0.4518138475957638,0.0,6387.906805000008,166572.06000000003,166572.06000000003,0.0,0.9630671367311147,0.22146795142401504,166572.06000000003,166572.06000000003,1,0.778532048575985,-0.09466805590926711,0.9640793636763004,0.9630671367311147,[],2009-10-01 20:00:00+00:00,2009-10,2009-10-01 13:31:00+00:00,-4135.289999999979,172959.96680500003,"[{'amount': 921L, 'last_sale_price': 180.86, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",-0.02335065362339639,3.1961788088006906,0.0,0.0,0,5.8189036284073365,6387.906805000008,170707.35,170707.35,189,[],0.0
2009-10-02 20:00:00+00:00,184.9,0.23793498148793785,0.7668080680500007,0.2887857539263133,1.1663737551259494,0.35997531986855985,0.4537260001211361,0.0,6387.906805000008,170292.9,170292.9,0.0,0.9638449307510224,0.049755808480076325,170292.9,170292.9,1,0.9502441915199237,-0.09466805590926711,0.9640793636763004,0.9638449307510224,[],2009-10-02 20:00:00+00:00,2009-10,2009-10-02 13:31:00+00:00,3720.8399999999674,176680.806805,"[{'amount': 921L, 'last_sale_price': 184.9, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.021512723832763925,3.29491468503824,0.0,0.0,0,6.022768237109452,6387.906805000008,166572.06000000003,166572.06000000003,190,[],0.0
2009-10-05 20:00:00+00:00,186.024,0.23732900451882677,0.7771601080500006,0.291326893238969,1.1795430579964825,0.35903238132111376,0.4537609792773027,0.0,6387.906805000008,171328.104,171328.104,0.0,0.9640555357051697,0.03124806080148167,171328.104,171328.104,1,0.9687519391985183,-0.09466805590926711,0.9640793636763004,0.9640555357051697,[],2009-10-05 20:00:00+00:00,2009-10,2009-10-05 13:31:00+00:00,1035.203999999998,177716.010805,"[{'amount': 921L, 'last_sale_price': 186.024, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.00585917632322408,3.3186053857608067,0.0,0.0,0,6.0665250410782665,6387.906805000008,170292.9,170292.9,191,[],0.0
2009-10-06 20:00:00+00:00,190.01,0.23755751639771386,0.8138711680500004,0.3022576916096061,1.2262448740480347,0.3586259578551295,0.4554660722197727,0.0,6387.906805000008,174999.21,174999.21,0.0,0.9647830181243394,0.053155674834439094,174999.21,174999.21,1,0.9468443251655608,-0.09466805590926711,0.9647830181243394,0.9647830181243394,[],2009-10-06 20:00:00+00:00,2009-10,2009-10-06 13:31:00+00:00,3671.1059999999998,181387.116805,"[{'amount': 921L, 'last_sale_price': 190.01, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.020657148353550037,3.412275654038229,0.0,0.0,0,6.2600871286085145,6387.906805000008,171328.104,171328.104,192,[],0.0
2009-10-07 20:00:00+00:00,190.25,0.2369490697071764,0.8160815680500006,0.301511585991714,1.2290568248388958,0.3577091106020237,0.4554840384455897,0.0,6387.906805000008,175220.25,175220.25,0.0,0.9648258816267875,0.02822801867578196,175220.25,175220.25,1,0.9717719813242182,-0.09466805590926711,0.9648258816267875,0.9648258816267875,[],2009-10-07 20:00:00+00:00,2009-10,2009-10-07 13:31:00+00:00,221.04000000000815,181608.156805,"[{'amount': 921L, 'last_sale_price': 190.25, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.001218609148728289,3.410027341297473,0.0,0.0,0,6.256168011166712,6387.906805000008,174999.21,174999.21,193,[],0.0
2009-10-08 20:00:00+00:00,189.27,0.23651806264661362,0.8070557680500008,0.2961397632197387,1.2175746924428794,0.3569476643205224,0.45585651504068825,0.0,6387.906805000008,174317.67,174317.67,0.0,0.9646501955393816,0.033433938057393954,174317.67,174317.67,1,0.9665660619426061,-0.09466805590926711,0.9648258816267875,0.9646501955393816,[],2009-10-08 20:00:00+00:00,2009-10,2009-10-08 13:31:00+00:00,-902.5799999999872,180705.57680500002,"[{'amount': 921L, 'last_sale_price': 189.27, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",-0.004969930953977575,3.3713368347233,0.0,0.0,0,6.183932825589373,6387.906805000008,175220.25,175220.25,194,[],0.0
2009-10-09 20:00:00+00:00,190.47,0.23593155675674635,0.8181077680500006,0.29874431149632613,1.2316344463971851,0.3560335996886951,0.4558978430563501,0.0,6387.906805000008,175422.87,175422.87,0.0,0.964865081612564,0.029025258047429912,175422.87,175422.87,1,0.97097474195257,-0.09466805590926711,0.964865081612564,0.964865081612564,[],2009-10-09 20:00:00+00:00,2009-10,2009-10-09 13:31:00+00:00,1105.1999999999825,181810.776805,"[{'amount': 921L, 'last_sale_price': 190.47, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.006116025966329763,3.39588614741533,0.0,0.0,0,6.229510184041726,6387.906805000008,174317.67,174317.67,195,[],0.0
2009-10-12 20:00:00+00:00,190.81,0.23533162563982107,0.8212391680500006,0.29838019338957894,1.2356180433509052,0.35513164796694907,0.4559051513000999,0.0,6387.906805000008,175736.01,175736.01,0.0,0.9649254918460844,0.03067125653370891,175736.01,175736.01,1,0.9693287434662913,-0.09466805590926711,0.9649254918460844,0.9649254918460844,[],2009-10-12 20:00:00+00:00,2009-10,2009-10-12 13:31:00+00:00,313.14000000001397,182123.91680500002,"[{'amount': 921L, 'last_sale_price': 190.81, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",0.0017223401467332256,3.3965830227628175,0.0,0.0,0,6.230860165511596,6387.906805000008,175422.87,175422.87,196,[],0.0
2009-10-13 20:00:00+00:00,190.02,0.23487044014905958,0.8139632680500006,0.2938596311101223,1.2263620386643206,0.3543549890091292,0.4561901865273375,0.0,6387.906805000008,175008.42,175008.42,0.0,0.9647848061892291,0.03729237652790114,175008.42,175008.42,1,0.9627076234720989,-0.09466805590926711,0.9649254918460844,0.9647848061892291,[],2009-10-13 20:00:00+00:00,2009-10,2009-10-13 13:31:00+00:00,-727.5899999999965,181396.32680500002,"[{'amount': 921L, 'last_sale_price': 190.02, 'cost_basis': 101.64179499999999, 'sid': Equity(8 [AAPL])}]",-0.0039950271922771785,3.3642187349840893,0.0,0.0,0,6.171241545424387,6387.906805000008,175736.01,175736.01,197,[],0.0
