Date,StdDev
6/20/1995,0.006134389
6/21/1995,0.006194875
6/22/1995,0.005766765
6/23/1995,0.006439774
6/26/1995,0.005884943
6/27/1995,0.007746266
6/28/1995,0.007254735
6/29/1995,0.00731626
6/30/1995,0.007332252
7/3/1995,0.007322172
7/5/1995,0.006462067
7/6/1995,0.006481732
7/7/1995,0.007494055
7/10/1995,0.006491179
7/11/1995,0.006402821
7/12/1995,0.004985481
7/13/1995,0.005680786
7/14/1995,0.005926833
7/17/1995,0.005857576
7/18/1995,0.005770577
7/19/1995,0.006927272
7/20/1995,0.0080507
7/21/1995,0.006988256
7/24/1995,0.006803929
7/25/1995,0.00725702
7/26/1995,0.007393624
7/27/1995,0.00628812
7/28/1995,0.006750661
7/31/1995,0.007132745
8/1/1995,0.006944768
8/2/1995,0.006350039
8/3/1995,0.005112901
8/4/1995,0.005054615
8/7/1995,0.005007926
8/8/1995,0.004534304
8/9/1995,0.003805972
8/10/1995,0.003800039
8/11/1995,0.002375189
8/14/1995,0.002198203
8/15/1995,0.003814984
8/16/1995,0.003829649
8/17/1995,0.00383692
8/18/1995,0.003892253
8/21/1995,0.003892175
8/22/1995,0.003944041
8/23/1995,0.004000783
8/24/1995,0.004166034
8/25/1995,0.004128033
8/28/1995,0.003945274
8/29/1995,0.003083094
8/30/1995,0.003109175
8/31/1995,0.003064442
9/1/1995,0.002988645
9/5/1995,0.003234578
9/6/1995,0.003923885
9/7/1995,0.003924057
9/8/1995,0.003443946
9/11/1995,0.003429969
9/12/1995,0.003284882
9/13/1995,0.002536606
9/14/1995,0.002549659
9/15/1995,0.00304937
9/18/1995,0.003201404
9/19/1995,0.004037341
9/20/1995,0.003491848
9/21/1995,0.003528824
9/22/1995,0.00501611
9/25/1995,0.00501625
9/26/1995,0.005120327
9/27/1995,0.005016079
9/28/1995,0.004869546
9/29/1995,0.004568215
10/2/1995,0.004615988
10/3/1995,0.004755809
10/4/1995,0.004467527
10/5/1995,0.004072751
10/6/1995,0.003335188
10/9/1995,0.003342254
10/10/1995,0.004274984
10/11/1995,0.004274189
10/12/1995,0.004433589
10/13/1995,0.004191236
10/16/1995,0.004281234
10/17/1995,0.004243786
10/18/1995,0.004707964
10/19/1995,0.004697461
10/20/1995,0.004805497
10/23/1995,0.005363141
10/24/1995,0.004493804
10/25/1995,0.004447301
10/26/1995,0.005343319
10/27/1995,0.005670617
10/30/1995,0.006189543
10/31/1995,0.006386758
11/1/1995,0.00612025
11/2/1995,0.006647689
11/3/1995,0.006798561
11/6/1995,0.006462394
11/7/1995,0.006538583
11/8/1995,0.006671596
11/9/1995,0.006505857
11/10/1995,0.005252311
11/13/1995,0.005109357
11/14/1995,0.004981459
11/15/1995,0.0053213
11/16/1995,0.005632455
11/17/1995,0.005554477
11/20/1995,0.005579736
11/21/1995,0.005780982
11/22/1995,0.005818735
11/24/1995,0.00559294
11/27/1995,0.005553931
11/28/1995,0.005530912
11/29/1995,0.006158459
11/30/1995,0.005322425
12/1/1995,0.005005015
12/4/1995,0.004858519
12/5/1995,0.005920173
12/6/1995,0.005351356
12/7/1995,0.005137434
12/8/1995,0.005465068
12/11/1995,0.005464631
12/12/1995,0.005387545
12/13/1995,0.00507428
12/14/1995,0.00522682
12/15/1995,0.00592402
12/18/1995,0.00594463
12/19/1995,0.007899168
12/20/1995,0.008417066
12/21/1995,0.008779694
12/22/1995,0.008960455
12/26/1995,0.008977117
12/27/1995,0.009015839
12/28/1995,0.008983608
12/29/1995,0.008654599
1/2/1996,0.008422791
1/3/1996,0.009136169
1/4/1996,0.00593074
1/5/1996,0.006381305
1/8/1996,0.005366518
1/9/1996,0.005281669
1/10/1996,0.007803123
1/11/1996,0.00842875
1/12/1996,0.008838983
1/15/1996,0.008835082
1/16/1996,0.00876512
1/17/1996,0.009027144
1/18/1996,0.00886699
1/19/1996,0.008690966
1/22/1996,0.009046105
1/23/1996,0.008927361
1/24/1996,0.006851507
1/25/1996,0.005000243
1/26/1996,0.005311175
1/29/1996,0.005468344
1/30/1996,0.005133954
1/31/1996,0.00456795
2/1/1996,0.004389912
2/2/1996,0.004378316
2/5/1996,0.005161514
2/6/1996,0.005155327
2/7/1996,0.005297583
2/8/1996,0.00521033
2/9/1996,0.004495955
2/12/1996,0.004893078
2/13/1996,0.004891999
2/14/1996,0.005413222
2/15/1996,0.006531859
2/16/1996,0.007138925
2/20/1996,0.007130986
2/21/1996,0.007677303
2/22/1996,0.008107598
2/23/1996,0.009358333
2/26/1996,0.008838997
2/27/1996,0.009947862
2/28/1996,0.00945784
2/29/1996,0.009484796
3/1/1996,0.009558574
3/4/1996,0.011077376
3/5/1996,0.011154716
3/6/1996,0.010807972
3/7/1996,0.010723541
3/8/1996,0.009459719
3/11/1996,0.013808712
3/12/1996,0.014026296
3/13/1996,0.014177755
3/14/1996,0.014367551
3/15/1996,0.014043841
3/18/1996,0.013030247
3/19/1996,0.014395175
3/20/1996,0.014082613
3/21/1996,0.013786531
3/22/1996,0.013702787
3/25/1996,0.007869572
3/26/1996,0.007389209
3/27/1996,0.006626593
3/28/1996,0.007450933
3/29/1996,0.0074292
4/1/1996,0.007663472
4/2/1996,0.005777441
4/3/1996,0.005741546
4/4/1996,0.00571367
4/8/1996,0.005637769
