,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2006-04-03 20:00:00+00:00,62.65,0.0931160736904946,0.7785351999999954,-0.005310822687475814,611.850916323323,0.005458810678285564,0.09887322422643748,0.0,11520.351999999999,6265.0,6265.0,0.0,0.35225617125823544,6265.0,52.22153999999998,6265.0,1,-0.1338688619035113,0.5603121335831871,0.35225617125823544,[],2006-04-03 20:00:00+00:00,2006-04,2006-04-03 13:31:00+00:00,-7.0,17785.352,"[{'amount': 100L, 'last_sale_price': 62.65, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.00039342746816173335,1.038383971591699,0.0,69.79667,0.0,0,1.6980463950946034,11520.351999999999,6272.0,6272.0,1571,[],0.0
2006-04-04 20:00:00+00:00,61.17,0.09315166067990761,0.7637351999999955,-0.005310822687476448,614.3774894862637,0.005457085272557082,0.09752009745181947,0.0,11520.351999999999,6117.0,6117.0,0.0,0.34682076992056404,6117.0,52.30535666666665,6117.0,1,-0.1338688619035113,0.5603121335831871,0.34682076992056404,[],2006-04-04 20:00:00+00:00,2006-04,2006-04-04 13:31:00+00:00,-148.0,17637.352,"[{'amount': 100L, 'last_sale_price': 61.17, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.008321454644248827,1.0230065281895875,0.0,69.80937,0.0,0,1.6712117622561709,11520.351999999999,6265.0,6265.0,1572,[],0.0
2006-04-05 20:00:00+00:00,67.21000000000001,0.09410347994205914,0.8241351999999953,-0.005310822687474106,616.9144788397944,0.005455361501779727,0.10277890244595825,0.0,11520.351999999999,6721.000000000001,6721.000000000001,0.0,0.36844856675097337,6721.000000000001,52.40897333333331,6721.000000000001,1,-0.1338688619035113,0.5603121335831871,0.36844856675097337,[],2006-04-05 20:00:00+00:00,2006-04,2006-04-05 13:31:00+00:00,604.0,18241.352,"[{'amount': 100L, 'last_sale_price': 67.21000000000001, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.03424550352002953,1.0703156008583832,0.0,69.88037000000001,0.0,0,1.7669249644392473,11520.351999999999,6117.0,6117.0,1573,[],0.0
2006-04-06 20:00:00+00:00,71.24,0.09447315355845513,0.8644351999999951,-0.005310822687476802,619.4619273262798,0.0054536393633732244,0.10614497755698862,0.0,11520.351999999999,7123.999999999999,7123.999999999999,0.0,0.38209962995764074,7123.999999999999,52.525373333333306,7123.999999999999,1,-0.1338688619035113,0.5603121335831871,0.38209962995764074,[],2006-04-06 20:00:00+00:00,2006-04,2006-04-06 13:31:00+00:00,403.0,18644.352,"[{'amount': 100L, 'last_sale_price': 71.24, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.022092660675590237,1.1028900816461484,0.0,69.98097000000001,0.0,0,1.8284336845831404,11520.351999999999,6721.000000000001,6721.000000000001,1574,[],0.0
2006-04-07 20:00:00+00:00,69.79,0.09449994796993279,0.8499351999999951,-0.005310822687475478,622.0198780651215,0.005451918854762997,0.10487421286485102,0.0,11520.351999999999,6979.000000000001,6979.000000000001,0.0,0.37725645741537334,6979.000000000001,52.634706666666645,6979.000000000001,1,-0.1338688619035113,0.5603121335831871,0.37725645741537334,[],2006-04-07 20:00:00+00:00,2006-04,2006-04-07 13:31:00+00:00,-145.0,18499.352,"[{'amount': 100L, 'last_sale_price': 69.79, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0077771541751625595,1.0887096445854294,0.0,70.06347000000001,0.0,0,1.8033230964554363,11520.351999999999,7123.999999999999,7123.999999999999,1575,[],0.0
2006-04-10 20:00:00+00:00,68.67,0.09450528145942837,0.838735199999995,-0.005310822687475068,624.5883743534871,0.005450199973380148,0.10387210561123345,0.0,11520.351999999999,6867.0,6867.0,0.0,0.3734632371208209,6867.0,52.735439999999976,6867.0,1,-0.1338688619035113,0.5603121335831871,0.3734632371208209,[],2006-04-10 20:00:00+00:00,2006-04,2006-04-10 13:31:00+00:00,-112.0,18387.352,"[{'amount': 100L, 'last_sale_price': 68.67, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.006054266116996998,1.07771390305422,0.0,70.13567,0.0,0,1.7841706788673002,11520.351999999999,6979.000000000001,6979.000000000001,1576,[],0.0
2006-04-11 20:00:00+00:00,67.99,0.09448952571449983,0.8319351999999951,-0.005310822687478179,627.1674596670438,0.0054484827166614465,0.10323621672888442,0.0,11520.351999999999,6798.999999999999,6798.999999999999,0.0,0.3711375817223229,6798.999999999999,52.83285666666664,6798.999999999999,1,-0.1338688619035113,0.5603121335831871,0.3711375817223229,[],2006-04-11 20:00:00+00:00,2006-04,2006-04-11 13:31:00+00:00,-68.0,18319.352,"[{'amount': 100L, 'last_sale_price': 67.99, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0036981942805032197,1.070955853370265,0.0,70.19277,0.0,0,1.7726546536638883,11520.351999999999,6867.0,6867.0,1577,[],0.0
2006-04-12 20:00:00+00:00,66.71000000000001,0.09450569928212788,0.8191351999999952,-0.005310822687481169,629.7571776606937,0.005446767082049307,0.10209202953065928,0.0,11520.351999999999,6671.000000000001,6671.000000000001,0.0,0.36671271052311016,6671.000000000001,52.922506666666635,6671.000000000001,1,-0.1338688619035113,0.5603121335831871,0.36671271052311016,[],2006-04-12 20:00:00+00:00,2006-04,2006-04-12 13:31:00+00:00,-128.0,18191.352,"[{'amount': 100L, 'last_sale_price': 66.71000000000001, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.006987146706935898,1.058287121520618,0.0,70.21037,0.0,0,1.7504465460676415,11520.351999999999,6798.999999999999,6798.999999999999,1578,[],0.0
2006-04-13 20:00:00+00:00,66.46900000000001,0.09447825339795217,0.8167251999999954,-0.005310822687481337,632.3575721693135,0.005445053066991782,0.1018252389172178,0.0,11520.351999999999,6646.900000000001,6646.900000000001,0.0,0.36587261518693087,6646.900000000001,53.01438666666664,6646.900000000001,1,-0.1338688619035113,0.5603121335831871,0.36587261518693087,[],2006-04-13 20:00:00+00:00,2006-04,2006-04-13 13:31:00+00:00,-24.099999999998545,18167.252,"[{'amount': 100L, 'last_sale_price': 66.46900000000001, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0013248053250796143,1.0556862431134464,0.0,70.22986,0.0,0,1.7461155624877864,11520.351999999999,6671.000000000001,6671.000000000001,1579,[],0.0
2006-04-17 20:00:00+00:00,64.811,0.09452485753810042,0.8001451999999951,-0.0053108226874813685,634.9686872084955,0.005443340668942538,0.10035270183925718,0.0,11520.351999999999,6481.1,6481.1,0.0,0.36003206852425024,6481.1,53.0990233333333,6481.1,1,-0.1338688619035113,0.5603121335831871,0.36003206852425024,[],2006-04-17 20:00:00+00:00,2006-04,2006-04-17 13:31:00+00:00,-165.8000000000029,18001.451999999997,"[{'amount': 100L, 'last_sale_price': 64.811, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.009126311453157787,1.0390989188530437,0.0,70.23237,0.0,0,1.7165790431743073,11520.351999999999,6646.900000000001,6646.900000000001,1580,[],0.0
